
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                              Class
Variable                         cp                      im                      pp                     imU                      om                     omL                     imL
alm1=0.77                   -16.518                  6.9753                -11.8424                 29.6509                 -4.3158                 -0.7027                 -0.2011
alm1=0.78                  -16.7093                  0.8095                -11.9795                  36.241                 -4.3658                 -0.7108                 -0.2034
alm1=0.79                  -16.4551                 41.6974                -11.7973                 -5.2105                 -4.2994                    -0.7                 -0.2003
alm1=0.8                   -16.2695                 43.1551                -11.6643                 -7.0797                 -4.2509                 -0.6921                 -0.1981
alm1=0.81                  -16.3928                 13.1628                -11.7527                 23.1859                 -4.2831                 -0.6974                 -0.1996
alm1=0.82                  -16.3928                  13.131                -11.7527                   8.074                 -4.2831                 -0.6974                 14.9442
alm1=0.84                  -16.2695                 13.0639                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm1=0.85                  -16.2695                 43.0605                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm1=0.86                  -16.3309                 23.1498                -11.7083                 13.0618                  -4.267                 -0.6947                 -0.1988
alm1=0.87                  -16.3928                 23.9933                -11.7527                 12.3554                 -4.2831                 -0.6974                 -0.1996
alm1=0.88                  -16.3309                  43.223                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.89                  -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
alm1=0.9                   -16.2695                 64.9187                -11.6643                -28.8432                 -4.2509                 -0.6921                 -0.1981
alm1=0.91                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.92                  -16.3309                 23.1981                -11.7083                 13.0135                  -4.267                 -0.6947                 -0.1988
alm1=0.94                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=1                     -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0                            0                       0                       0                       0                       0                       0                       0
alm2=0.01                  -16.2086                -16.8693                -11.6206                 -6.9588                  -4.235                  59.079                 -0.1973
alm2=0.14                         0                       0                       0                       0                       0                       0                       0
alm2=0.15                  -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
alm2=0.16                  -16.2086                -16.8693                -11.6206                 -6.9588                  -4.235                  59.079                 -0.1973
alm2=0.17                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.19                  -16.2695                -16.9327                 48.3289                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.2                    11.8605                -17.1259                   8.429                 -7.0647                  7.8361                    -0.7                 -0.2003
alm2=0.21                  -16.3309                  3.0766                  7.8659                 -7.0114                 16.3052                 -0.6947                 -0.1988
alm2=0.23                  -16.2695                 13.0639                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.24                  -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.25                    7.8159                -17.1259                 12.4737                 -7.0647                  7.8361                    -0.7                 -0.2003
alm2=0.26                    3.7423                -16.9966                  8.3649                 -7.0114                 15.8062                 -0.6947                 -0.1988
alm2=0.27                   23.8155                -16.9966                -11.7083                 -7.0114                 15.8062                 -0.6947                 -0.1988
alm2=0.28                    7.8159                -17.1259                -11.7973                 -7.0647                 19.9716                 11.4355                 -0.2003
alm2=0.29                   -2.7322                -18.7133                  0.3382                 -7.0647                 32.1071                    -0.7                 -0.2003
alm2=0.3                    -7.8466                -17.2571                  5.8724                 -7.1188                 12.8461                  8.0292                  8.5328
alm2=0.31                   23.8155                -16.9966                  8.3649                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm2=0.32                   -1.2809                 -1.9491                 18.4712                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm2=0.33                    7.9679                -17.4578                  6.5295                 -1.0163                   7.988                 -0.7136                 -0.2042
alm2=0.34                    1.2919                   5.605                  8.4607                 -7.0917                 -4.3158                 -0.7027                 -0.2011
alm2=0.35                   13.9172                -18.7645                 -2.6719                 -7.0943                 -4.3158                 -3.5356                  -1.323
alm2=0.36                    9.6227                -17.2571                  5.9516                 -7.1188                  4.0322                  8.0292                 -0.2019
alm2=0.37                   18.3573                 -8.5014                 -3.1531                 -7.1398                  4.4023                 -0.7054                 -0.2019
alm2=0.38                   -2.9658                -17.2571                 33.8644                 -7.1188                 -2.5575                 -0.7054                 -0.2019
alm2=0.39                   26.5234                -17.4578                  6.5301                 -7.2016                 -4.3827                 -0.7136                 -0.2042
alm2=0.4                    19.9514                -17.1259                 12.4737                 -7.0647                 -4.2994                    -0.7                 -0.2003
alm2=0.41                    27.092                -17.2571                  5.5815                 -7.1188                 -4.3324                 -0.7054                 -0.2019
alm2=0.42                   13.8311                 -17.061                 18.4712                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm2=0.43                    27.092                -17.2571                  9.0474                -10.5847                 -4.3324                 -0.7054                 -0.2019
alm2=0.44                   24.0882                 -7.0397                 -1.6909                 -7.0917                 -4.3158                 -0.7027                 -0.2011
alm2=0.45                   13.7271                -16.9327                -11.6643                  -6.985                 25.7457                 -0.6921                 -0.1981
alm2=0.46                   43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm2=0.47                   13.7271                -16.9327                 18.3322                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.48                    3.7423                  3.0766                  8.3649                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm2=0.49                  -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.5                    43.7237                -16.9327                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.51                   13.7271                -16.9327                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.52                   -4.3196                 -4.9904                 12.4737                 -7.0647                  7.8361                    -0.7                 -0.2003
alm2=0.53                   43.7237                -16.9327                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.54                  -49.1578                 50.4274                  13.857                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.55                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.56                   13.8311                 -17.061                 18.4712                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm2=0.57                         0                       0                       0                       0                       0                       0                       0
alm2=0.58                         0                       0                       0                       0                       0                       0                       0
alm2=0.59                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.61                         0                       0                       0                       0                       0                       0                       0
alm2=0.62                  -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
alm2=0.63                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.66                  -16.3928                 47.0974                -11.7527                -10.7486                 -4.2831                 -0.6974                 -0.1996
alm2=0.67                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.68                  -16.4551                 -4.9904                -11.7973                 41.4773                 -4.2994                    -0.7                 -0.2003
alm2=0.69                  -16.3928                 43.3867                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm2=0.7                   -16.3309                 28.0749                -11.7083                  8.1367                  -4.267                 -0.6947                 -0.1988
alm2=0.71                  -16.3309                  43.223                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm2=0.72                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.73                  -16.3309                 52.5378                -11.7083                -16.3262                  -4.267                 -0.6947                 -0.1988
alm2=0.74                  -16.8393                  1.8927                -12.0728                 35.4461                 -4.3998                 -0.7164                  -0.205
alm2=0.75                  -16.3928                 15.2014                -11.7527                 21.1474                 -4.2831                 -0.6974                 -0.1996
alm2=0.76                  -16.3928                -19.4373                -11.7527                  55.786                 -4.2831                 -0.6974                 -0.1996
alm2=0.77                  -16.3928                 -1.9491                -11.7527                 38.2978                 -4.2831                 -0.6974                 -0.1996
alm2=0.78                  -16.3928                 22.9824                -11.7527                 13.3664                 -4.2831                 -0.6974                 -0.1996
alm2=0.79                  -16.8405                 -7.5325                -12.0728                 -0.0711                 -5.3187                 -9.9122                 -5.8884
alm2=0.8                   -16.5812                 29.4497                -11.8877                  7.3169                 -4.3324                 -0.7054                 -0.2019
alm2=0.81                  -16.4551                 41.6974                -11.7973                 -5.2105                 -4.2994                    -0.7                 -0.2003
alm2=0.82                  -16.2695                 43.1551                -11.6643                 -7.0797                 -4.2509                 -0.6921                 -0.1981
alm2=0.83                  -16.4551                 19.2806                -11.7973                 17.2063                 -4.2994                    -0.7                 -0.2003
alm2=0.84                  -16.3309                 23.1074                -11.7083                 -7.0114                  -4.267                 -0.6947                 19.9167
alm2=0.85                  -16.2695                 13.0639                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.86                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.87                  -16.2695                 13.0639                -11.6643                 23.0116                 -4.2509                 -0.6921                 -0.1981
alm2=0.88                  -16.3928                 23.9933                -11.7527                 12.3554                 -4.2831                 -0.6974                 -0.1996
alm2=0.89                  -16.3309                  43.223                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm2=0.9                   -16.2695                 34.9221                -11.6643                  1.1534                 -4.2509                 -0.6921                 -0.1981
alm2=0.92                  -16.2695                 43.0605                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm2=0.94                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm2=0.99                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
Intercept                    3.7014                   4.289                  3.4707                  1.2879                  1.6724                 -1.0106                 -1.1047


Odds Ratios...
                              Class
Variable                         cp                      im                      pp                     imU                      om                     omL                     imL
===================================================================================================================================================================================
mcg=0                   915346.5287             471594.8395                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.04      8.2760633223727585E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.06                          0   4.9357337381814364E18                       0                  0.0008                  0.0145                  0.5018                  0.8209
mcg=0.07                          1                       1                       1                       1                       1                       1                       1
mcg=0.1                           0   4.2745055755061458E18                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.11                          0   4.2745069973915802E18                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.12                          0    5.535772168484649E18                       0                  0.0008                  0.0143                  0.5005                  0.8203
mcg=0.16                915346.5169             471594.8358                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.17       9.748626396507656E18                       0                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.18                          1                       1                       1                       1                       1                       1                       1
mcg=0.2                           0   4.2745054823733222E18                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.21                          1                       1                       1                       1                       1                       1                       1
mcg=0.22      8.2760623902263511E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.23                 915346.494              471594.828                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.24      1.3576850193619935E19                       0                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.25       1.149740380237719E19                       0                       0                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.26      1.1497403805361551E19                       0                       0                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.27      2.2024193938866936E10                 21.6851                       0                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.28      8.2760624016224584E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.29             462147046.4836                  0.0068                  1.4024                  0.0009                  0.0136                  0.4966                  0.8185
mcg=0.3                  24825.5285            21301015.859                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.31                     0.2778     1.90359936419911E12                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.32                          0                       0     5.59552115895907E19                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.33                     2.0055   2.6367434382857123E11                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.34       3.824068512172185E10               3416.9942                       0                       0                  0.0127                  0.4912                  0.8159
mcg=0.35      3.7135293694147847E12                  0.1424                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.36               1015661.6388             520655.6812                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.37      2.1935934100391228E10                 21.8533                       0                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.38      1.3576850238757738E19                       0                       0                  0.0009                  0.0138                  0.4979                  0.8191
mcg=0.39                915346.4955           26872221.2009                       0                       0                  0.0143                  0.5005                  0.8203
mcg=0.4        8.613184458677872E13                  0.0068                       0                  0.0009                  0.0136                  0.4966                  0.8185
mcg=0.41       8.613187144368112E13                  0.0068                       0                  0.0009                  0.0136                  0.4966                  0.8185
mcg=0.42      8.2760624263732316E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.43                    42.1932                  21.684               4293.6323                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.44      1.0872989159276037E10                271.7675                       0                  0.0008                  0.0134                  0.4952                  0.8178
mcg=0.45                          0    4.274505298241601E18                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.46                          0   5.0225790874612224E18                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.47                     0.2778             521642.6202                       0               3203.8307                  0.0138                  0.4979                  0.8191
mcg=0.48                     0.2778    2.052537425274822E12                       0                  0.0008                  0.0138                  0.4979                  0.8191
mcg=0.49                    42.1932              31197.4537                       0                327.1203                   0.014                  0.4992                  0.8197
mcg=0.5                   2479.6856          236307945.4943                       0                  0.0009                  0.0136                  0.4966                  0.8185
mcg=0.51      2.2025273548235443E10                  21.684                       0                  0.0009                   0.014                  0.4992                  0.8197
mcg=0.52                     0.2778          301429254.4371                       0                       0              50453.1007                  0.4979                  0.8191
mcg=0.53      8.2760624412034898E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.54                          0   5.0225907463865293E18                       0                  0.0009                  0.0143                  0.5005                  0.8203
mcg=0.55                          0   4.2745054284932127E18                       0                   0.001                  0.0145                  0.5018                  0.8209
mcg=0.56                          0                       0          248539548.9928                  0.0009   5.5902707925890686E10                  0.5005                  0.8203
mcg=0.57                    42.2691                       0               4285.9257             470629.8074                   0.014                  0.4992                  0.8197
mcg=0.58                          0   5.0790989601005592E16                       0                  0.1049                   0.014                  0.4992                  0.8197
mcg=0.59                          0                 23.1022               4293.6322             441739.7337                   0.014                  0.4992                  0.8197
mcg=0.6                           0    2.964617765109613E20                       0                       0              50453.1006                  0.4979                  0.8191
mcg=0.61                     0.0017             575689.6099                  0.1844                  0.0008                342.3048                  0.4952                  0.8178
mcg=0.62                          0                       0    2.241316368348137E12    5.159751659130222E28                   0.014                  0.4992                  0.8197
mcg=0.63                          0                       0            1002485.5477                  0.0181                 10.6549                  0.0011                  0.0188
mcg=0.64                     0.0035                       0             161614892.4             389853.7741                  0.0439                  0.4899                  0.8153
mcg=0.65                    42.1932                       0               4293.6322                  0.0009            7320835.7615                  0.4992                  0.8197
mcg=0.66                          0                271.6466          121107657.8369                  0.0001                  0.0134              12693.1336                  0.8178
mcg=0.67                          0                       0           139749366.589                  1.6922              59599.1386               1057.9595                  0.8166
mcg=0.68                          0                  0.0002             1649826.214                  0.0008             507336.0652               3069.4239                  0.8172
mcg=0.69                          0                  0.4283    2.480398627140186E11                  0.0003                  33.579                  0.4926                  0.8166
mcg=0.7                           0                 69.8937           52802900.6958                  0.0027                  0.0131                  0.4939               5173.0479
mcg=0.71                          0                  1.2364             1649832.675                  0.0008                 81.6374               3069.4239                  0.8172
mcg=0.72                          0               6436.4617               4293.6322               1585.5005                   0.014                  0.4992                  0.8197
mcg=0.73                          0                  0.0007                 28.7681             638192.8944              50453.1005                  0.4979                  0.8191
mcg=0.74                          0                  0.0248         6157185280.5998                  0.0008               8402.2797                  0.4912                  0.8159
mcg=0.75                          0                       0                 28.7681               3209.9031              50453.1003                  0.4979            2994714.8463
mcg=0.76                          0                       0               4293.6322   2.4567314243538562E14                   0.014                  0.4992                  0.8197
mcg=0.77                          0                       0                       0          332174318.0023            7320835.7507          260586821.5782                  0.8197
mcg=0.78                          0                       0                       0    2.456731426873177E14            7320835.7497                  0.4992                  0.8197
mcg=0.79                          0                       0                       0   1.2824366522640191E23                   0.014                  0.4992                  0.8197
mcg=0.81                          0                       0                       0   3.7834917648406896E25                   0.014                  0.4992                  0.8197
mcg=0.83                          0           95566578.9295                       0           48646789.9479                  0.0143                  0.5005                  0.8203
mcg=0.84                          0                  0.0104                       0   5.1373044096274682E17                   0.014                  0.4992                  0.8197
mcg=0.85                          0                       0                       0                  0.0009                  0.0145                       0                  0.0011
mcg=0.86                          0                       0                       0   1.0499378832885572E23                  0.0143                  0.5005                  0.8203
mcg=0.87                          0                       0                       0    8.608788132106537E22                  0.0145                  0.5018                  0.8209
mcg=0.88                          0                       0                       0     8.60878813042145E22                  0.0145                  0.5018                  0.8209
mcg=0.89                          0    6.248773073802733E32                       0                       0                  0.0145                  0.5018                  0.8209
gvh=0.16                          1                       1                       1                       1                       1                       1                       1
gvh=0.23                          1                       1                       1                       1                       1                       1                       1
gvh=0.24                          1                       1                       1                       1                       1                       1                       1
gvh=0.26       3.713419494041724E12                       0                       0             638192.8721                  0.0138                  0.4979                  0.8191
gvh=0.27                          1                       1                       1                       1                       1                       1                       1
gvh=0.28        1.35768485614764E19                       0                       0                  0.0009                  0.0138                  0.4979                  0.8191
gvh=0.29                          0                       0                       0    8.608787742703263E22                  0.0145                  0.5018                  0.8209
gvh=0.3       1.1497402435312542E19                       0                       0                  0.0009                   0.014                  0.4992                  0.8197
gvh=0.31       9.748624514095254E18                       0                       0                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.32      8.2760614234158223E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
gvh=0.33       1.771883309696768E13                       0                       0             470629.8077                   0.014                  0.4992                  0.8197
gvh=0.34        8.61318369083051E13                  0.0068                       0                  0.0009                  0.0136                  0.4966                  0.8185
gvh=0.35       2.202419254726159E10                 21.6851                       0                  0.0009                   0.014                  0.4992                  0.8197
gvh=0.36                     0.2778               520655.66                       0                3209.903                  0.0138                  0.4979                  0.8191
gvh=0.37                     585.01              14762.6012                       0                 73.0765                  0.0129                  0.4926                  0.8166
gvh=0.38                915346.4619                       0                       0         9858391732.5866                  0.0143                  0.5005                  0.8203
gvh=0.39                          0              27339.4714           13192788.0878                  0.0002                  0.0131                  0.4939               5173.0478
gvh=0.4                      2.4304   2.9673473072719867E11                       0                  0.0008                  0.0131                  0.4939                  0.8172
gvh=0.41                 15103.8856                  4.0123                       0               9636.0764                  0.0131                  0.4939                  0.8172
gvh=0.42             282162811.9744                       0                       0          149394954.0767                  0.0121                  0.4872                   0.814
gvh=0.43       5.833140613059391E11                  0.0002                       0                  4.8915                  0.0131                  0.4939                  0.8172
gvh=0.44                 43262.5901    3.915552981268488E10                       0                       0                  0.0127                  0.4912                  0.8159
gvh=0.45                     0.0133                 68.3887                       0          550453936.8412                  0.0136                  0.4966                  0.8185
gvh=0.46                    311.186            2429988.5092                       0                  0.0037                  0.0123                138.1783                  0.8146
gvh=0.47                    13.3277          153252301.2154                  0.0029                  0.0007                  0.0125                  0.4899                  0.8153
gvh=0.48                  2479.7451                  0.0001                       0         1671350214.5773                  0.0136                  0.4966                  0.8185
gvh=0.49                      0.028                       0                  0.0005                526.7321                  0.4128                  2.5597                  0.0089
gvh=0.5                      2.4304    1.612666557178402E16                       0                       0                  0.0131                  0.4939                  0.8172
gvh=0.51                     0.8273            2954208.5176                       0                  4.6872                  1.0366                  0.4844                  0.8127
gvh=0.52                          0    8.674233611878669E14                       0                 159.305                  0.0136                  0.4966                  0.8185
gvh=0.53                          0              28286.4315                       0                5657.486                  0.0138                  0.0073                  0.1542
gvh=0.54                     0.0017               1611.6078                  0.2583               7617.5738                  0.0095                  0.4952                  0.8178
gvh=0.55                     0.0489              19368.0903                       0                  0.8145                  0.0127                461.8439                767.1288
gvh=0.56                     0.2778             546089.1407                 28.7681                  0.0008                  0.0138                  0.4979                  0.8191
gvh=0.57                     0.0001                  0.0248               5211.7583                  0.0008              11229.8646                461.8439                  0.8159
gvh=0.58                          0   4.2745048186203628E18                       0                   0.001                  0.0145                  0.5018                  0.8209
gvh=0.59                          0                 22.4615           94098122.3038                  0.0008                440.5583                  0.4952                  0.8178
gvh=0.6                           0                       0           91541944.8707         9858392024.8315                  0.0143                  0.5005                  0.8203
gvh=0.61                          0                       0           52802901.9971   1.1288182312913777E11                  0.0131                  0.4939                  0.8172
gvh=0.63                          0                       0                       0                   0.001   1.3118832702683448E24                  0.5018                  0.8209
gvh=0.64                          0                       0    8.135183433088622E20                   0.001                  0.0145                  0.5018                  0.8209
gvh=0.65                          0                  21.684   2.2413162327604062E12                  0.0009                   0.014                  0.4992                  0.8197
gvh=0.66                          0             520655.6603          105180550.0841                  0.0009                  0.0138                  0.4979                  0.8191
gvh=0.67                          0             520655.6611          105180550.0803                  0.0009                  0.0138                  0.4979                  0.8191
gvh=0.68                          0                       0                       0                  0.0009   1.6164563190427704E24                  0.5005                  0.8203
gvh=0.69                          0                       0                       0                   0.001    1.311883266123152E24                  0.5018                  0.8209
gvh=0.7                           0             471594.8034           91541944.5715                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.71                          0                       0   3.1039956936199927E12                 21.3248                342.3048                  0.4952                  0.8178
gvh=0.72                          0                       0    8.135183404097337E20                   0.001                  0.0145                  0.5018                  0.8209
gvh=0.73                          0                       0    8.135183403878722E20                   0.001                  0.0145                  0.5018                  0.8209
gvh=0.74                          0                       0    9.749396907556329E20                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.75                          0    7.950369221336752E21                       0                       0    1.517771939367612E11                  0.5005                  0.8203
gvh=0.76                 47115.2408                       0                       0                  0.0009   3.9767814909575605E12                  0.4979                  0.8191
gvh=0.78                          0                       0     9.07846210597161E15                  0.0009               2530.3099                  0.4966                  0.8185
gvh=0.8                           0                       0    9.749396885179145E20                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.81                          0                       0    3.845566242656397E14                  0.0009              50453.0996                  0.4979                  0.8191
gvh=0.82                          0                       0    9.749396886851688E20                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.83                          0                       0    9.749396887405045E20                  0.0009                  0.0143                  0.5005                  0.8203
gvh=0.84                          0                       0           105180550.121                  0.0009   1.8446442690253732E11                  0.4979                  0.8191
gvh=0.86                          0                       0   1.4059994707367643E21                  0.0009                  0.0138                  0.4979                  0.8191
gvh=0.88                          0                       0                       0                   0.001   1.3118832542092052E24                  0.5018                  0.8209
gvh=0.9                           0                       0                       0                   0.001    1.311883254047934E24                  0.5018                  0.8209
gvh=1                             0                       0    8.135183347409808E20                   0.001                  0.0145                  0.5018                  0.8209
lip                               0                       0                       0              40525.1653                  6.0655   1.3224856108167402E13             194763.0582
chg                               0                       0                       0                   0.001                  0.0145                  0.5018    7.437657767551446E25
aac=0                             0   4.2745048894050755E18                       0                   0.001                  0.0145                  0.5018                  0.8209
aac=0.06                          0                       0                       0    8.608787662289243E22                  0.0145                  0.5018                  0.8209
aac=0.16      8.2760616619618826E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
aac=0.17                          0                       0    8.135183259796182E20                   0.001                  0.0145                  0.5018                  0.8209
aac=0.22                          1                       1                       1                       1                       1                       1                       1
aac=0.25                          0                       0    8.135183193247242E20                   0.001                  0.0145                  0.5018                  0.8209
aac=0.27      8.2760614517856256E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
aac=0.28                          1                       1                       1                       1                       1                       1                       1
aac=0.29      8.2760612216846684E18                       0                       0                   0.001                  0.0145                  0.5018                  0.8209
aac=0.3                 915346.4622                       0            91541942.846                  0.0009                  0.0143                  0.5005                  0.8203
aac=0.31                          0                  21.684   2.2413161693809233E12                  0.0009                   0.014                  0.4992                  0.8197
aac=0.33                    42.1932   1.1319256282769766E10                       0                  0.0009                   0.014                  0.4992                  0.8197
aac=0.34      2.2025271925049667E10                       0               4293.6321                  0.0009                   0.014                  0.4992                  0.8197
aac=0.35                          0                  21.684   2.2413161779173706E12                  0.0009                   0.014                  0.4992                  0.8197
aac=0.36      2.2025271929413326E10                  21.684                       0                  0.0009                   0.014                  0.4992                  0.8197
aac=0.37       3.826411962180862E10                       0                    5.54                  0.0008                  0.0127                461.8439                  0.8159
aac=0.38               1015661.6033                  0.1424                 28.7681                  0.0009                  0.0138                  0.4979                  0.8191
aac=0.39                    43.9488                  0.0009          121107649.4303                  0.0008                  0.0134                  0.4952                  0.8178
aac=0.4                           0                  0.0068    4.871119809200332E10                  0.0009                  0.0136                  0.4966             152540.2929
aac=0.41                1256494.402                  0.0001              65065.7715                  0.0008                  0.0129                  0.4926                  0.8166
aac=0.42                 22003.5653                  0.0078                164.2119                   0.205                  0.0097                  0.4885                  0.8146
aac=0.43             374754720.6195                  0.0282                  0.6893                  0.0007                  0.0102                  0.4899                  0.8153
aac=0.44             462147020.6549                       0             261363.7505                  0.0009                  0.0136                  0.4966                  0.8185
aac=0.45       9.887651438293097E10                  1.2364                       0                   5.032                       0                  0.4939                  0.8172
aac=0.46                     0.0001                  0.0248         4606853665.8028                  0.7206                  0.0127                  0.4912                  0.8159
aac=0.47                     0.0133                       0    9.078461775369268E15                  0.0009                  0.0136                  0.4966                  0.8185
aac=0.48                     0.2724         6207150194.5338                  0.0141                  0.0002                  0.0129                  0.4926                  0.8166
aac=0.49              24896366.3942                       0              36567.4623                  0.0007                  0.0123                  0.4885                  0.8146
aac=0.5                      0.2724                  0.0001                 30.2939            7806118.8672                  0.0129                  0.4926                  0.8166
aac=0.51                     0.0015          1562902877.712                   0.001                  0.0001                  2.1766                  0.4872                148.3962
aac=0.52                     0.0122               3351.7186                  1.4116                  0.1573                  0.0125                237.8752                  0.8153
aac=0.53                    21.7992     7.83829414803732E10                  0.0155                       0                  0.0127                  0.0727                  0.3829
aac=0.54                     0.0122                       0                  0.0029                       0                  0.0046                    0.01                  0.0016
aac=0.55                     0.2778                       0                       0   2.2395528436915703E26                  0.0138                  0.4979                  0.8191
aac=0.56                     0.2724                  0.0008                  0.2961           60551632.9042                  0.0129                  0.4926                  0.8166
aac=0.57                          0   1.6924682391386448E10                       0               3435.3038                  3.4734                  0.4885                  0.8146
aac=0.58                     5.9418                  0.0563                  0.0029            4548086.1996                  0.0125                  0.4899                  0.8153
aac=0.59                          0   1.7844451786705008E11                       0              45192.8748                  0.0134                  0.4952                  0.8178
aac=0.6                   33943.458                  23.966                  5.3372                  0.0008                   0.014                  0.4992                  0.8197
aac=0.61                          0    4.182992351843657E15                       0                  1.4608                  0.0138                  0.4979                  0.8191
aac=0.62                          0             101333.4198                       0                100.7101                   0.014          260586824.2427                  0.8197
aac=0.63                  2479.6856                  0.0071                  1.4024                153.1565                  0.0136                  0.4966                  0.8185
aac=0.64                          0                  4.9279                       0   1.4237028095110865E15                  0.0136                  0.4966                  0.8185
aac=0.65                          0                  1.1372                       0    2.766747857987086E11                342.3048                  0.4952                  0.8178
aac=0.66                          0             575689.6016                       0                 21.3248                342.3048              12693.1339                  0.8178
aac=0.67                          0                   0.087                       0   5.3421768610933872E16                  0.0143                  0.5005                  0.8203
aac=0.68                          0                       0                       0                   0.001   1.3118832135770402E24                  0.5018                  0.8209
aac=0.7                           0                       0                       0         9858432639.0867   1.5177719055976358E11                  0.5005                  0.8203
