
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                              Class
Variable                         cp                      im                      pp                     imU                      om                     omL                     imL
mcg=0.69                    -16.645                  -0.848                 26.2369                 -8.2773                  3.5139                 -0.7081                 -0.2026
mcg=0.7                    -16.5812                   4.247                 17.7821                 -5.9033                 -4.3324                 -0.7054                  8.5512
mcg=0.71                   -16.5812                  0.2122                 14.3162                 -7.1188                  4.4023                  8.0292                 -0.2019
mcg=0.72                   -16.3309                  8.7697                  8.3649                  7.3687                  -4.267                 -0.6947                 -0.1988
mcg=0.73                   -16.3928                 -7.2415                  3.3593                 13.3664                 10.8288                 -0.6974                 -0.1996
mcg=0.74                   -16.7093                 -3.6982                 22.5409                 -7.1738                  9.0363                 -0.7108                 -0.2034
mcg=0.75                   -16.3928                 -17.061                  3.3593                   8.074                 10.8288                 -0.6974                 14.9124
mcg=0.76                   -16.3309                -16.9966                  8.3649                  33.135                  -4.267                 -0.6947                 -0.1988
mcg=0.77                   -16.3309                 -23.556                -11.7083                 19.6212                 15.8062                 19.3784                 -0.1988
mcg=0.78                   -16.3309                -16.9966                -11.7083                  33.135                 15.8062                 -0.6947                 -0.1988
mcg=0.79                   -16.3309                -16.9966                -11.7083                 53.2082                  -4.267                 -0.6947                 -0.1988
mcg=0.81                   -16.3309                -22.6837                -11.7083                 58.8953                  -4.267                 -0.6947                 -0.1988
mcg=0.83                   -16.2695                 18.3753                -11.6643                 17.7001                 -4.2509                 -0.6921                 -0.1981
mcg=0.84                   -16.3309                 -4.5689                -11.7083                 40.7805                  -4.267                 -0.6947                 -0.1988
mcg=0.85                   -16.3232                -26.1319                 -77.165                 -6.9746                 -4.2352                -17.3686                 -6.8026
mcg=0.86                   -16.2695                -16.9327                -11.6643                 53.0082                 -4.2509                 -0.6921                 -0.1981
mcg=0.87                   -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
mcg=0.88                   -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
mcg=0.89                   -16.2086                 75.5151                -11.6206                -39.5747                  -4.235                 -0.6895                 -0.1973
gvh=0.16                          0                       0                       0                       0                       0                       0                       0
gvh=0.23                          0                       0                       0                       0                       0                       0                       0
gvh=0.24                          0                       0                       0                       0                       0                       0                       0
gvh=0.26                     28.943                -22.3534                -11.7527                 13.3664                 -4.2831                 -0.6974                 -0.1996
gvh=0.27                          0                       0                       0                       0                       0                       0                       0
gvh=0.28                    44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
gvh=0.29                   -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
gvh=0.3                     43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
gvh=0.31                    43.7237                -16.9327                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.32                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
gvh=0.33                    30.5056                -16.9966                -18.3985                 13.0618                  -4.267                 -0.6947                 -0.1988
gvh=0.34                    32.0869                 -4.9904                -11.7973                 -7.0647                 -4.2994                    -0.7                 -0.2003
gvh=0.35                    23.8154                  3.0766                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
gvh=0.36                    -1.2809                 13.1628                -11.7527                   8.074                 -4.2831                 -0.6974                 -0.1996
gvh=0.37                     6.3716                  9.5999                -11.9335                  4.2915                  -4.349                 -0.7081                 -0.2026
gvh=0.38                    13.7271                -16.9327                -11.6643                 23.0116                 -4.2509                 -0.6921                 -0.1981
gvh=0.39                   -18.6602                 10.2161                 16.3952                 -8.4065                 -4.3324                 -0.7054                  8.5512
gvh=0.4                      0.8881                 26.4161                -11.8877                 -7.1188                 -4.3324                 -0.7054                 -0.2019
gvh=0.41                     9.6227                  1.3894                -11.8877                  9.1733                 -4.3324                 -0.7054                 -0.2019
gvh=0.42                     19.458                -17.7005                -12.1199                 18.8221                  -4.417                 -0.7192                 -0.2058
gvh=0.43                     27.092                 -8.4941                -11.8877                  1.5875                 -4.3324                 -0.7054                 -0.2019
gvh=0.44                     10.675                 24.3908                -11.9796                -14.7246                 -4.3658                 -0.7108                 -0.2034
gvh=0.45                    -4.3196                  4.2252                -11.7973                 20.1263                 -4.2994                    -0.7                 -0.2003
gvh=0.46                     5.7404                 14.7034                -12.0728                 -5.5892                 -4.3998                  4.9285                  -0.205
gvh=0.47                     2.5898                 18.8476                 -5.8406                 -7.2016                 -4.3827                 -0.7136                 -0.2042
gvh=0.48                     7.8159                  -9.021                -11.7973                 21.2369                 -4.2994                    -0.7                 -0.2003
gvh=0.49                    -3.5751                -35.6314                 -7.5375                  6.2667                 -0.8848                  0.9399                 -4.7257
gvh=0.5                      0.8881                 37.3193                -11.8877                 -18.022                 -4.3324                 -0.7054                 -0.2019
gvh=0.51                    -0.1896                 14.8987                -12.2154                  1.5448                  0.0359                 -0.7248                 -0.2074
gvh=0.52                    -17.625                 34.3965                -13.6079                  5.0708                 -4.2994                    -0.7                 -0.2003
gvh=0.53                   -16.4218                 10.2501                 -28.325                  8.6407                 -4.2832                 -4.9145                 -1.8697
gvh=0.54                    -6.3655                   7.385                 -1.3537                  8.9382                 -4.6538                 -0.7027                 -0.2011
gvh=0.55                    -3.0171                  9.8714                -11.9795                 -0.2052                 -4.3658                  6.1352                  6.6427
gvh=0.56                    -1.2809                 13.2105                  3.3593                 -7.0856                 -4.2831                 -0.6974                 -0.1996
gvh=0.57                    -9.8632                 -3.6982                  8.5587                 -7.1738                  9.3263                  6.1352                 -0.2034
gvh=0.58                   -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
gvh=0.59                   -16.5179                  3.1118                 18.3598                 -7.0917                   6.088                 -0.7027                 -0.2011
gvh=0.6                    -16.2695                -16.9327                 18.3323                 23.0116                 -4.2509                 -0.6921                 -0.1981
gvh=0.61                   -16.5812                -18.3529                 17.7821                 25.4496                 -4.3324                 -0.7054                 -0.2019
gvh=0.63                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
gvh=0.64                   -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
gvh=0.65                   -16.3309                  3.0766                 28.4381                 -7.0114                  -4.267                 -0.6947                 -0.1988
gvh=0.66                   -16.3928                 13.1628                 18.4712                 -7.0379                 -4.2831                 -0.6974                 -0.1996
gvh=0.67                   -16.3928                 13.1628                 18.4712                 -7.0379                 -4.2831                 -0.6974                 -0.1996
gvh=0.68                   -16.2695                -16.9327                -11.6643                  -6.985                 55.7423                 -0.6921                 -0.1981
gvh=0.69                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
gvh=0.7                    -16.2695                 13.0639                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.71                   -16.5179                -17.1912                 28.7637                  3.0599                  5.8357                 -0.7027                 -0.2011
gvh=0.72                   -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
gvh=0.73                   -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
gvh=0.74                   -16.2695                -16.9327                 48.3289                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.75                   -16.2695                 50.4275                -11.6643                -44.3486                 25.7457                 -0.6921                 -0.1981
gvh=0.76                    10.7604                 -17.061                -11.7527                 -7.0379                 29.0115                 -0.6974                 -0.1996
gvh=0.78                   -16.4551                -17.1259                 36.7447                 -7.0647                  7.8361                    -0.7                 -0.2003
gvh=0.8                    -16.2695                -16.9327                 48.3289                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.81                   -16.3928                 -17.061                 33.5831                 -7.0379                 10.8288                 -0.6974                 -0.1996
gvh=0.82                   -16.2695                -16.9327                 48.3289                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.83                   -16.2695                -16.9327                 48.3289                  -6.985                 -4.2509                 -0.6921                 -0.1981
gvh=0.84                   -16.3928                 -17.061                 18.4712                 -7.0379                 25.9407                 -0.6974                 -0.1996
gvh=0.86                   -16.3928                 -17.061                  48.695                 -7.0379                 -4.2831                 -0.6974                 -0.1996
gvh=0.88                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
gvh=0.9                    -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
gvh=1                      -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
lip                         -16.774                -22.9114                 -12.026                 10.6097                  1.8026                 30.2131                 12.1795
chg                        -16.2086                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 59.5712
aac=0                      -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.06                   -16.2086                -16.8693                -11.6206                 52.8097                  -4.235                 -0.6895                 -0.1973
aac=0.16                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.17                   -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.22                          0                       0                       0                       0                       0                       0                       0
aac=0.25                   -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.27                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.28                          0                       0                       0                       0                       0                       0                       0
aac=0.29                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
aac=0.3                     13.7271                -16.9327                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
aac=0.31                   -16.3309                  3.0766                 28.4381                 -7.0114                  -4.267                 -0.6947                 -0.1988
aac=0.33                     3.7423                 23.1498                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
aac=0.34                    23.8155                -16.9966                  8.3649                 -7.0114                  -4.267                 -0.6947                 -0.1988
aac=0.35                   -16.3309                  3.0766                 28.4381                 -7.0114                  -4.267                 -0.6947                 -0.1988
aac=0.36                    23.8155                  3.0766                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
aac=0.37                    24.3678                -17.3904                   1.712                 -7.1738                 -4.3658                  6.1352                 -0.2034
aac=0.38                    13.8311                 -1.9491                  3.3593                 -7.0379                 -4.2831                 -0.6974                 -0.1996
aac=0.39                      3.783                 -7.0358                 18.6122                 -7.0917                 -4.3158                 -0.7027                 -0.2011
aac=0.4                    -16.4551                 -4.9904                 24.6092                 -7.0647                 -4.2994                    -0.7                 11.9352
aac=0.41                    14.0438                 -9.6513                 11.0832                 -7.1462                  -4.349                 -0.7081                 -0.2026
aac=0.42                      9.999                 -4.8495                  5.1012                 -1.5847                  -4.639                 -0.7164                  -0.205
aac=0.43                    19.7418                  -3.568                 -0.3721                 -7.2016                 -4.5887                 -0.7136                 -0.2042
aac=0.44                    19.9514                -17.1259                 12.4737                 -7.0647                 -4.2994                    -0.7                 -0.2003
aac=0.45                    25.3171                  0.2122                -11.8878                  1.6158                -11.2921                 -0.7054                 -0.2019
aac=0.46                    -9.8632                 -3.6982                 22.2508                 -0.3277                 -4.3658                 -0.7108                 -0.2034
aac=0.47                    -4.3196                -17.1259                 36.7447                 -7.0647                 -4.2994                    -0.7                 -0.2003
aac=0.48                    -1.3006                  22.549                 -4.2613                 -8.6576                  -4.349                 -0.7081                 -0.2026
aac=0.49                    17.0302                -11.8672                 10.5069                 -7.2432                 -4.3998                 -0.7164                  -0.205
aac=0.5                     -1.3006                 -9.6513                  3.4109                 15.8704                  -4.349                 -0.7081                 -0.2026
aac=0.51                    -6.5156                 21.1698                 -6.9252                 -9.6697                  0.7778                 -0.7192                  4.9999
aac=0.52                    -4.4033                  8.1172                  0.3447                 -1.8499                 -4.3827                  5.4717                 -0.2042
aac=0.53                     3.0819                 25.0849                 -4.1656                -31.0691                 -4.3658                 -2.6213                   -0.96
aac=0.54                    -4.4033                -19.0432                 -5.8406                -17.7516                 -5.3897                 -4.6044                 -6.4317
aac=0.55                    -1.2809                -39.4367                -11.7527                 60.6735                 -4.2831                 -0.6974                 -0.1996
aac=0.56                    -1.3006                  -7.072                 -1.2169                  17.919                  -4.349                 -0.7081                 -0.2026
aac=0.57                   -16.8393                  23.552                -12.0728                  8.1419                  1.2451                 -0.7164                  -0.205
aac=0.58                      1.782                 -2.8775                 -5.8406                 15.3302                 -4.3827                 -0.7136                 -0.2042
aac=0.59                   -16.5179                 25.9075                -11.8424                 10.7187                 -4.3158                 -0.7027                 -0.2011
aac=0.6                     10.4325                  3.1766                  1.6747                 -7.1114                  -4.267                 -0.6947                 -0.1988
aac=0.61                   -16.3928                 35.9698                -11.7527                   0.379                 -4.2831                 -0.6974                 -0.1996
aac=0.62                   -16.3309                 11.5262                -11.7083                  4.6122                  -4.267                 19.3784                 -0.1988
aac=0.63                     7.8159                  -4.951                  0.3382                  5.0315                 -4.2994                    -0.7                 -0.2003
aac=0.64                   -16.4551                  1.5949                -11.7973                  34.892                 -4.2994                    -0.7                 -0.2003
aac=0.65                   -16.5179                  0.1286                -11.8424                 26.3461                  5.8357                 -0.7027                 -0.2011
aac=0.66                   -16.5179                 13.2633                -11.8424                  3.0599                  5.8357                  9.4488                 -0.2011
aac=0.67                   -16.2695                 -2.4415                -11.6643                  38.517                 -4.2509                 -0.6921                 -0.1981
aac=0.68                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
aac=0.7                    -16.2695                -16.9327                -11.6643                 23.0116                 25.7457                 -0.6921                 -0.1981
aac=0.71                    -4.3196                 31.4162                -11.7973                 -7.0647                 -4.2994                    -0.7                 -0.2003
aac=0.72                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
aac=0.73                   -16.2695                -16.9327                -11.6643                  -6.985                 55.7423                 -0.6921                 -0.1981
aac=0.74                   -16.2695                 13.0639                -11.6643                  -6.985                 25.7457                 -0.6921                 -0.1981
aac=0.75                   -16.2695                -16.9327                -11.6643                 23.0116                 25.7457                 -0.6921                 -0.1981
aac=0.77                   -16.3309                -16.9966                -12.2073                 -7.0114                 56.4516                 -0.6947                 -0.1988
aac=0.79                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
aac=0.83                   -16.2695                -16.9327                -11.6643                  -6.985                 55.7423                 -0.6921                 -0.1981
aac=0.84                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
aac=0.86                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
aac=0.88                   -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
alm1=0.03                         0                       0                       0                       0                       0                       0                       0
alm1=0.05                         0                       0                       0                       0                       0                       0                       0
alm1=0.06                   63.4801                -16.8693                -31.5408                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.11                         0                       0                       0                       0                       0                       0                       0
alm1=0.14                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.15                         0                       0                       0                       0                       0                       0                       0
alm1=0.16                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.17                         0                       0                       0                       0                       0                       0                       0
alm1=0.18                   47.6475                -20.8566                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm1=0.19                         0                       0                       0                       0                       0                       0                       0
alm1=0.2                    43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.21                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.22                   43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.23                   43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.24                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.25                   44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.26                   44.2224                -17.1259                -11.7973                 -7.0647                 -4.2994                    -0.7                 -0.2003
alm1=0.27                   43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.28                    17.064                -17.1259                  15.361                 -7.0647                 -4.2994                    -0.7                 -0.2003
alm1=0.29                   44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.3                    44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.31                    28.943                 -17.061                  3.3593                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.32                   43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.33                  -16.2695                -16.9327                -11.6643                  -6.985                 55.7423                 -0.6921                 -0.1981
alm1=0.34                   44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.35                   42.3284                -17.1912                 -1.6909                 -7.0917                -12.4045                 -0.7027                 -0.2011
alm1=0.36                    7.8159                -17.1259                 12.4737                 -7.0647                  7.8361                    -0.7                 -0.2003
alm1=0.37                   19.9514                -17.1259                 12.8777                 -7.0647                 -4.7035                    -0.7                 -0.2003
alm1=0.38                   19.9514                -17.1259                  0.3382                 -7.0647                  7.8361                    -0.7                 -0.2003
alm1=0.39                   -9.8632                -10.5443                 28.9267                 -7.1738                  2.6504                 -0.7108                 -0.2034
alm1=0.4                    -6.3664                -17.1912                 18.6122                 -7.0917                 15.9872                 -0.7027                 -0.2011
alm1=0.41                  -16.2695                -16.9327                 18.3323                  -6.985                 25.7457                 -0.6921                 -0.1981
alm1=0.42                    7.8159                -17.1259                 24.6092                 -7.0647                 -4.2994                    -0.7                 -0.2003
alm1=0.43                  -16.2086                -16.8693                -11.6206                 -6.9588                 55.5335                 -0.6895                 -0.1973
alm1=0.44                   -1.2809                 -17.061                 33.5831                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.45                    3.7851                -17.1912                  8.4607                 -7.0917                 15.9872                 -0.7027                 -0.2011
alm1=0.46                   43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.47                  -29.7605                 10.1255                 22.7986                 -7.0647                 -4.2994                    -0.7                 11.9352
alm1=0.48                   13.7271                -16.9327                 18.3323                  -6.985                 -4.2509                 -0.6921                 -0.1981
alm1=0.49                    0.8881                -17.2571                 23.0508                  1.6158                 -4.3324                 -0.7054                 -0.2019
alm1=0.5                   -16.3309                -16.9966                 28.4381                 -7.0114                 15.8062                 -0.6947                 -0.1988
alm1=0.51                  -16.3309                -16.9966                 48.5113                 -7.0114                  -4.267                 -0.6947                 -0.1988
alm1=0.52                   -1.3098                 -19.403                  7.8953                -13.0383                 -4.2832                 -4.9145                 -1.8697
alm1=0.53                  -16.3309                -16.9966                  8.3649                 -7.0114                 35.8794                 -0.6947                 -0.1988
alm1=0.54                  -16.5812                -17.2571                 14.6863                 -7.1188                 21.5015                  8.0292                 -0.2019
alm1=0.55                  -16.2695                -16.9327                 18.3323                  -6.985                 -4.2509                 29.3045                 -0.1981
alm1=0.56                  -16.2086                -16.8693                -11.6206                 -6.9588                  -4.235                  59.079                 -0.1973
alm1=0.57                  -16.3309                -16.9966                 28.4381                 -7.0114                 15.8062                 -0.6947                 -0.1988
alm1=0.58                  -16.3309                  3.0766                -11.7083                 -7.0114                 15.8062                 19.3784                 -0.1988
alm1=0.59                  -16.3309                -16.9966                -11.7083                 13.0618                 15.8062                 19.3784                 -0.1988
alm1=0.61                   -41.334                 23.1498                -11.7083                 38.0649                  -4.267                 -0.6947                 -0.1988
alm1=0.62                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.64                  -16.2695                 13.0639                -11.6643                 23.0116                 -4.2509                 -0.6921                 -0.1981
alm1=0.65                  -16.3928                 28.2748                  3.3593                 -7.0379                 -4.2831                 -0.6974                 -0.1996
alm1=0.66                  -16.3309                 73.1502                -11.7083                -36.9386                  -4.267                 -0.6947                 -0.1988
alm1=0.67                  -16.5179                 33.5664                -11.8424                  3.0599                 -4.3158                 -0.7027                 -0.2011
alm1=0.68                  -16.2086                -16.8693                 48.1479                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.69                  -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
alm1=0.7                   -16.5179                 21.0423                 -1.6909                  5.4324                 -4.3158                 -0.7027                 -0.2011
alm1=0.71                  -16.5812                 30.6473                -11.8877                  6.1193                 -4.3324                 -0.7054                 -0.2019
alm1=0.72                  -16.3928                 12.8232                -11.7527                 23.5255                 -4.2831                 -0.6974                 -0.1996
alm1=0.73                  -16.4551                 10.1256                -11.7973                 26.3614                 -4.2994                    -0.7                 -0.2003
alm1=0.74                  -16.3309                  3.0766                -11.7083                  33.135                  -4.267                 -0.6947                 -0.1988
alm1=0.75                  -16.4551                 15.0306                -11.7973                 21.4563                 -4.2994                    -0.7                 -0.2003
alm1=0.76                  -16.7107                  1.3133                -11.9796                -18.7683                 -5.4803                -11.8634                 -7.0962
