
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  11.05            1.0    1.0    1.0   34.0   22.0   35.0   30.0   21.0   14.0    5.0
  11.18            1.0    1.0   22.0   22.0   31.0   43.0   38.0   23.0   26.0   29.0
  11.31            1.0    1.0    4.0    1.0    1.0    6.0    1.0    1.0    3.0    1.0
  11.4             1.0    1.0   22.0    1.0    1.0   19.0    3.0    1.0   17.0   21.0
  11.66            1.0    1.0   67.0    1.0    1.0   43.0    4.0    1.0   51.0   47.0
  11.7             1.0    1.0    9.0    1.0    1.0   14.0    2.0    1.0   23.0   16.0
  12               1.0    1.0   44.0   61.0   60.0   19.0   68.0   37.0   20.0   38.0
  12.04            1.0    1.0   14.0   33.0   22.0    6.0   37.0   18.0   13.0    3.0
  12.08            1.0    1.0    7.0    1.0    1.0   10.0    3.0    1.0    7.0   17.0
  12.17            1.0    1.0    1.0   35.0   22.0    5.0   35.0   11.0   15.0    5.0
  12.21            1.0    1.0   29.0    1.0    1.0   35.0    1.0    1.0   11.0   14.0
  12.37            1.0    1.0    4.0    1.0    1.0    7.0    6.0    1.0    1.0    8.0
  12.53            1.0    1.0   10.0    1.0    1.0    8.0    3.0    1.0    7.0   14.0
  12.65            1.0    1.0    4.0    1.0    1.0    7.0    2.0    1.0    8.0   13.0
  12.73            1.0    1.0    6.0    1.0    1.0    2.0    2.0    1.0    1.0    4.0
  12.81            1.0    1.0   19.0    1.0    1.0   11.0    2.0    1.0    6.0    8.0
  13               1.0    1.0   48.0   59.0   51.0   44.0   59.0   43.0   52.0   66.0
  13.04            1.0    1.0    6.0   36.0   23.0   26.0   35.0   19.0   18.0   22.0
  13.15            1.0    1.0    1.0   40.0   22.0    1.0   30.0   25.0   12.0   10.0
  13.34            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    7.0    6.0
  13.42            1.0    1.0   12.0    1.0    1.0    9.0    3.0    1.0   11.0    9.0
  13.45            1.0    1.0   10.0    1.0    1.0   10.0    3.0    1.0   12.0    8.0
  13.6             1.0    1.0   13.0    1.0    1.0   18.0    4.0    1.0   21.0   18.0
  13.89            1.0    1.0   19.0    1.0    1.0   14.0    1.0    1.0    9.0   21.0
  13.93            1.0    1.0   11.0    1.0    1.0    7.0    7.0    1.0    9.0   13.0
  14               1.0    1.0    1.0   67.0   42.0   22.0   54.0   39.0   40.0   49.0
  14.04            1.0    1.0    1.0   29.0   19.0    1.0   32.0    4.0    9.0    1.0
  14.14            1.0    1.0    1.0   46.0   32.0    2.0   27.0   21.0   11.0    3.0
  14.21            1.0    1.0    2.0    1.0    1.0    2.0    3.0    1.0    4.0    8.0
  14.32            1.0    1.0   18.0    1.0    1.0   13.0    3.0    1.0   16.0   19.0
  14.42            1.0    1.0    8.0    1.0    1.0   24.0    2.0    1.0   16.0   23.0
  14.56            1.0    1.0    3.0    1.0    1.0    4.0    6.0    1.0   11.0    7.0
  14.76            1.0    1.0    8.0    1.0    1.0    8.0    2.0    1.0    7.0    9.0
  14.87            1.0    1.0   12.0    1.0    1.0    8.0    3.0    1.0    8.0    6.0
  15               1.0    1.0   14.0   53.0   51.0   40.0   60.0   51.0   42.0   58.0
  15.03            1.0    1.0    1.0   29.0   19.0    1.0   35.0    9.0   11.0    1.0
  15.13            1.0    1.0    1.0   37.0   29.0    1.0   33.0    9.0    9.0    1.0
  15.23            1.0    1.0   11.0    1.0    1.0    7.0    1.0    1.0   18.0   20.0
  15.26            1.0    1.0    9.0    1.0    1.0   11.0    1.0    1.0   15.0    8.0
  15.3             1.0    1.0    1.0    1.0    1.0    1.0    7.0    1.0    4.0    3.0
  15.52            1.0    1.0    5.0    1.0    1.0    4.0    7.0    1.0    7.0   10.0
  15.56            1.0    1.0    3.0    1.0    1.0    1.0    2.0    1.0    2.0    4.0
  15.62            1.0    1.0   11.0    1.0    1.0    6.0    6.0    1.0    2.0    6.0
  15.65            1.0    1.0    8.0    1.0    1.0   17.0    2.0    1.0   10.0    8.0
  15.81            1.0    1.0    7.0    1.0    1.0    7.0    2.0    1.0   12.0   16.0
  16               1.0    1.0    1.0   65.0   53.0   18.0   58.0   38.0   18.0   31.0
  16.03            1.0    1.0    1.0   39.0   36.0    1.0   26.0   20.0   15.0    2.0
  16.12            1.0    1.0   44.0   30.0   26.0   23.0   27.0   18.0   33.0   44.0
  16.16            1.0    1.0    8.0    1.0    1.0    6.0    1.0    1.0    9.0   13.0
  16.28            1.0    1.0    4.0    1.0    1.0    5.0    5.0    1.0    1.0    7.0
  16.4             1.0    1.0    7.0    1.0    1.0    1.0    3.0    1.0    2.0    4.0
  16.49            1.0    1.0    1.0    1.0    1.0    3.0    4.0    1.0    1.0    4.0
  16.55            1.0    1.0    7.0    1.0    1.0    7.0    1.0    1.0   10.0    9.0
  16.64            1.0    1.0   12.0    1.0    1.0    7.0    4.0    1.0   14.0   11.0
  16.76            1.0    1.0    5.0    1.0    1.0    2.0    5.0    1.0    5.0    5.0
  16.97            1.0    1.0    2.0    1.0    1.0    2.0    3.0    1.0    1.0    2.0
  17               1.0    1.0    8.0   59.0   40.0   24.0   44.0   35.0   19.0   47.0
  17.03            1.0    1.0    1.0   34.0   25.0    2.0   33.0   15.0    8.0    8.0
  17.09            1.0    1.0    9.0    1.0    1.0   11.0    2.0    1.0   10.0   20.0
  17.12            1.0    1.0    1.0   20.0   18.0    1.0   29.0   19.0   11.0    2.0
  17.2             1.0    1.0   12.0    1.0    1.0   18.0    3.0    1.0   13.0   21.0
  17.26            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    2.0
  17.46            1.0    1.0   11.0    1.0    1.0    4.0    4.0    1.0   19.0   13.0
  17.49            1.0    1.0   12.0    1.0    1.0    1.0    5.0    1.0    7.0    7.0
  17.69            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  17.72            1.0    1.0    6.0    1.0    1.0    2.0    4.0    1.0    2.0    5.0
  17.8             1.0    1.0   10.0    1.0    1.0   10.0    3.0    1.0   17.0   14.0
  17.89            1.0    1.0   11.0    1.0    1.0    8.0    4.0    1.0    7.0    7.0
  18               1.0    1.0    1.0   48.0   48.0    1.0   52.0   40.0   15.0   30.0
  18.03            1.0    1.0    5.0   26.0   21.0    7.0   25.0   19.0   19.0   26.0
  18.11            1.0    1.0    1.0   20.0   22.0    1.0   31.0   16.0    9.0    2.0
  18.25            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  18.36            1.0    1.0   26.0    1.0    1.0   20.0    1.0    1.0   13.0   13.0
  18.38            1.0    1.0    9.0    1.0    1.0    6.0    2.0    1.0    7.0   12.0
  18.44            1.0    1.0    7.0    1.0    1.0    5.0    2.0    1.0    4.0    5.0
  18.6             1.0    1.0    4.0    1.0    1.0    2.0    1.0    1.0   10.0    6.0
  18.68            1.0    1.0    6.0    1.0    1.0    2.0    2.0    1.0    1.0    5.0
  18.79            1.0    1.0    6.0    1.0    1.0    1.0    1.0    1.0    5.0    6.0
  18.87            1.0    1.0    5.0    1.0    1.0    4.0    2.0    1.0    6.0   10.0
  18.97            1.0    1.0    1.0    1.0    1.0    4.0    3.0    1.0    9.0   16.0
  19               1.0    1.0    1.0   49.0   59.0    1.0   42.0   46.0   13.0   38.0
  19.03            1.0    1.0    1.0   23.0   22.0    1.0   22.0   15.0   10.0    1.0
  19.1             1.0    1.0    1.0   34.0   12.0    1.0   21.0   16.0   12.0    6.0
  19.21            1.0    1.0    2.0    1.0    1.0    2.0    2.0    1.0    2.0    2.0
  19.24            1.0    1.0    5.0    1.0    1.0   12.0    2.0    1.0    8.0   15.0
  19.31            1.0    1.0    5.0    1.0    1.0    5.0    1.0    1.0    7.0    9.0
  19.42            1.0    1.0    3.0    1.0    1.0    4.0    3.0    1.0    4.0   14.0
  19.65            1.0    1.0    7.0    1.0    1.0    1.0    5.0    1.0    1.0    4.0
  19.7             1.0    1.0    5.0    1.0    1.0    6.0    3.0    1.0    5.0    2.0
  19.72            1.0    1.0   20.0    1.0    1.0   33.0    3.0    1.0   22.0   34.0
  19.8             1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  19.85            1.0    1.0    3.0    1.0    1.0    1.0    3.0    1.0    3.0    4.0
  19.92            1.0    1.0    7.0    1.0    1.0    1.0    2.0    1.0    4.0   15.0
  20               1.0    1.0   25.0   69.0   38.0    7.0   37.0   41.0   33.0   55.0
  20.02            1.0    1.0    7.0   28.0   19.0    1.0   24.0   20.0   12.0   12.0
  20.1             1.0    1.0   13.0   27.0   21.0    1.0   25.0   16.0   10.0    6.0
  20.12            1.0    1.0    5.0    1.0    1.0    3.0    2.0    1.0    5.0    7.0
  20.22            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  20.25            1.0    1.0    7.0    1.0    1.0   12.0    2.0    1.0   14.0   16.0
  20.4             1.0    1.0    2.0    1.0    1.0    1.0    5.0    1.0    5.0    1.0
  20.52            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    3.0
  20.59            1.0    1.0    3.0    1.0    1.0    4.0    1.0    1.0    4.0   10.0
  20.62            1.0    1.0    6.0    1.0    1.0    4.0    5.0    1.0   14.0   12.0
  20.81            1.0    1.0    1.0    1.0    1.0    6.0    2.0    1.0    7.0    9.0
  20.88            1.0    1.0    2.0    1.0    1.0    3.0    1.0    1.0    6.0   15.0
  21               1.0    1.0   11.0   51.0   44.0    1.0   46.0   37.0   37.0   35.0
  21.02            1.0    1.0   15.0   33.0   14.0    5.0   24.0   16.0   18.0   17.0
  21.1             1.0    1.0   12.0   27.0   29.0    3.0   22.0   21.0   11.0    8.0
  21.19            1.0    1.0    4.0    1.0    1.0    4.0    2.0    1.0    3.0    7.0
  21.21            1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    4.0
  21.26            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    5.0
  21.38            1.0    1.0    1.0    1.0    1.0    2.0    6.0    1.0    1.0    1.0
  21.4             1.0    1.0    5.0    1.0    1.0    7.0    2.0    1.0   10.0   16.0
  21.47            1.0    1.0    4.0    1.0    1.0    4.0    2.0    1.0    5.0    5.0
  21.54            1.0    1.0    5.0    1.0    1.0    5.0    3.0    1.0    6.0    8.0
  21.59            1.0    1.0    5.0    1.0    1.0    2.0    2.0    1.0    2.0    2.0
  21.63            1.0    1.0    1.0    1.0    1.0    3.0    2.0    1.0    1.0    4.0
  21.84            1.0    1.0    3.0    1.0    1.0    2.0    5.0    1.0    5.0   12.0
  21.93            1.0    1.0    7.0    1.0    1.0    1.0    2.0    1.0    5.0    9.0
  21.95            1.0    1.0    6.0    1.0    1.0   14.0    3.0    1.0    5.0    8.0
  22               1.0    1.0    9.0   58.0   52.0    1.0   56.0   39.0   34.0   32.0
  22.02            1.0    1.0   10.0   18.0   19.0    8.0   31.0   15.0   15.0   23.0
  22.09            1.0    1.0    9.0   18.0   25.0    1.0   28.0   11.0    4.0    9.0
  22.14            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    7.0    7.0
  22.2             1.0    1.0    3.0    1.0    1.0    2.0    7.0    1.0    2.0    4.0
  22.36            1.0    1.0    2.0    1.0    1.0    2.0    3.0    1.0    4.0    8.0
  22.47            1.0    1.0    7.0    1.0    1.0    6.0    1.0    1.0    7.0    7.0
  22.56            1.0    1.0    1.0    1.0    1.0    3.0    4.0    1.0    1.0    3.0
  22.63            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0
  22.67            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    3.0
  22.8             1.0    1.0    3.0    1.0    1.0    4.0    1.0    1.0    2.0   19.0
  22.83            1.0    1.0    2.0    1.0    1.0    2.0    3.0    1.0    3.0    4.0
  22.85            1.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0    7.0    7.0
  23               1.0    1.0   10.0   47.0   44.0    1.0   38.0   39.0   31.0   29.0
  23.02            1.0    1.0   10.0   20.0   19.0    2.0   24.0   15.0   11.0   10.0
  23.09            1.0    1.0    6.0   24.0   19.0    6.0   17.0   15.0    8.0    9.0
  23.19            1.0    1.0    2.0    1.0    1.0    1.0    5.0    1.0    1.0    1.0
  23.26            1.0    1.0    4.0    1.0    1.0    1.0    2.0    1.0    4.0   10.0
  23.32            1.0    1.0    2.0    1.0    1.0    3.0    2.0    1.0    2.0    4.0
  23.35            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0
  23.41            1.0    1.0    3.0    1.0    1.0    2.0    2.0    1.0    3.0    5.0
  23.43            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  23.54            1.0    1.0    2.0    1.0    1.0    1.0    4.0    1.0    1.0    3.0
  23.6             1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    4.0    2.0
  23.71            1.0    1.0    3.0    1.0    1.0    8.0    2.0    1.0    6.0    3.0
  23.77            1.0    1.0    3.0    1.0    1.0    3.0    1.0    1.0    4.0   16.0
  23.85            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    4.0    5.0
  24               1.0    1.0    9.0   46.0   34.0    1.0   39.0   40.0   33.0   32.0
  24.02            1.0    1.0    8.0   23.0   20.0    1.0   12.0   13.0   11.0    9.0
  24.04            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    3.0    6.0
  24.08            1.0    1.0   13.0   16.0   16.0    1.0   28.0    9.0    9.0   14.0
  24.17            1.0    1.0    2.0    1.0    1.0    3.0    2.0    1.0    3.0    5.0
  24.19            1.0    1.0    5.0    1.0    1.0   34.0    4.0    1.0   14.0   18.0
  24.21            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    3.0   10.0
  24.33            1.0    1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0
  24.35            1.0    1.0    3.0    1.0    1.0    7.0    1.0    1.0    1.0    9.0
  24.41            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    7.0
  24.52            1.0    1.0    3.0    1.0    1.0    2.0    4.0    1.0    2.0    1.0
  24.6             1.0    1.0    6.0    1.0    1.0    1.0    1.0    1.0    3.0    3.0
  24.7             1.0    1.0    7.0    1.0    1.0    9.0    2.0    1.0    2.0    8.0
  24.74            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    4.0   11.0
  24.76            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  24.84            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  25               1.0    1.0   13.0   50.0   47.0    1.0   50.0   43.0   36.0   45.0
  25.02            1.0    1.0    8.0   20.0   15.0    1.0   15.0   14.0   10.0    8.0
  25.06            1.0    1.0    3.0    1.0    1.0    3.0    2.0    1.0    3.0    2.0
  25.08            1.0    1.0   11.0   26.0   19.0    3.0   22.0   14.0   11.0   18.0
  25.18            1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    2.0    2.0
  25.24            1.0    1.0    1.0    1.0    1.0    3.0    2.0    1.0    5.0    5.0
  25.3             1.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0    2.0    2.0
  25.32            1.0    1.0    1.0    1.0    1.0    1.0    4.0    1.0    2.0    1.0
  25.46            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  25.5             1.0    1.0    5.0    1.0    1.0    1.0    6.0    1.0    4.0    6.0
  25.55            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    5.0
  25.61            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  25.63            1.0    1.0    7.0    1.0    1.0    2.0    2.0    1.0    3.0    5.0
  25.71            1.0    1.0    2.0    1.0    1.0    3.0    2.0    1.0    1.0    9.0
  25.81            1.0    1.0    1.0    1.0    1.0    4.0    2.0    1.0    6.0    9.0
  25.94            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  25.96            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  26               1.0    1.0    8.0   16.0    5.0    1.0    8.0    5.0   23.0   13.0
  26.02            1.0    1.0   14.0   11.0   11.0    1.0    7.0    5.0    1.0   13.0
  26.08            1.0    1.0    9.0   20.0   13.0    1.0    2.0    8.0    2.0   11.0
  26.17            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    2.0
  26.25            1.0    1.0    3.0    1.0    1.0    4.0    2.0    1.0    2.0    3.0
  26.31            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  26.4             1.0    1.0    6.0    1.0    1.0   21.0    1.0    1.0    2.0    8.0
  26.42            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  26.48            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    2.0    1.0
  26.57            1.0    1.0    2.0    1.0    1.0    2.0    1.0    1.0    4.0    3.0
  26.63            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  26.68            1.0    1.0    3.0    1.0    1.0    1.0    2.0    1.0    4.0    3.0
  26.83            1.0    1.0    3.0    1.0    1.0    2.0    2.0    1.0    1.0    3.0
  26.87            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  26.91            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  26.93            1.0    1.0    4.0    1.0    1.0    3.0    6.0    1.0    5.0    7.0
  27               1.0    1.0    3.0   12.0   11.0    1.0    4.0    3.0   25.0    8.0
  27.02            1.0    1.0    6.0   14.0    9.0    5.0    2.0    4.0    3.0   13.0
  27.07            1.0    1.0    9.0    8.0    8.0    1.0    4.0    3.0    1.0    5.0
  27.17            1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  27.2             1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0    7.0    5.0
  27.29            1.0    1.0    4.0    1.0    1.0    1.0    5.0    1.0    1.0    5.0
  27.31            1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  27.46            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  27.51            1.0    1.0    2.0    1.0    1.0    3.0    1.0    1.0    1.0    2.0
  27.59            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  27.66            1.0    1.0    2.0    1.0    1.0    1.0    2.0    1.0    1.0    7.0
  27.73            1.0    1.0    1.0    1.0    1.0    7.0    1.0    1.0    1.0    3.0
  27.78            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    5.0    4.0
  27.8             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  27.86            1.0    1.0    2.0    1.0    1.0    3.0    2.0    1.0    4.0    1.0
  27.89            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    5.0
  28               1.0    1.0    9.0    7.0    7.0    1.0    3.0    3.0   31.0   12.0
  28.02            1.0    1.0    7.0   11.0   11.0    1.0    1.0    4.0    2.0   11.0
  28.07            1.0    1.0    8.0   13.0    8.0    1.0    1.0    5.0    1.0    5.0
  28.16            1.0    1.0    2.0    1.0    1.0    1.0    2.0    1.0    2.0    4.0
  28.18            1.0    1.0    2.0    1.0    1.0    1.0    2.0    1.0    2.0    3.0
  28.23            1.0    1.0    2.0    1.0    1.0    4.0    2.0    1.0    2.0    1.0
  28.28            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  28.3             1.0    1.0    1.0    1.0    1.0    2.0    3.0    1.0    1.0    2.0
  28.32            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  28.43            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    4.0
  28.46            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    4.0    3.0
  28.6             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  28.64            1.0    1.0    2.0    1.0    1.0    8.0    1.0    1.0    2.0    7.0
  28.65            1.0    1.0    1.0    1.0    1.0    2.0    2.0    1.0    2.0    1.0
  28.79            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  28.84            1.0    1.0    1.0    1.0    1.0    3.0    2.0    1.0    1.0    3.0
  28.86            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  29               1.0    1.0   13.0   16.0    2.0    1.0    1.0    4.0   24.0   15.0
  29.02            1.0    1.0    8.0   13.0    4.0    1.0    2.0    5.0    1.0    7.0
  29.07            1.0    1.0    6.0   12.0    8.0    3.0    1.0    6.0    2.0   11.0
  29.12            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    4.0    1.0
  29.15            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    4.0    4.0
  29.41            1.0    1.0    3.0    1.0    1.0    3.0    1.0    1.0    2.0    6.0
  29.43            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  29.53            1.0    1.0    1.0    1.0    1.0    3.0    2.0    1.0    1.0    5.0
  29.55            1.0    1.0    2.0    1.0    1.0    6.0    1.0    1.0    3.0    2.0
  29.61            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  29.68            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    2.0
  29.73            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    5.0    2.0
  29.83            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  29.97            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    2.0    3.0
  30               1.0    1.0    9.0   15.0    5.0    1.0    2.0    4.0   38.0   14.0
  30.02            1.0    1.0    7.0    7.0    5.0    1.0    2.0    4.0    1.0   13.0
  30.07            1.0    1.0   12.0    8.0    4.0    1.0    1.0    1.0    1.0   11.0
  30.08            1.0    1.0    2.0    1.0    1.0    3.0    1.0    1.0    3.0    6.0
  30.23            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  30.36            1.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0    4.0    2.0
  30.41            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0    4.0
  30.46            1.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0    2.0    2.0
  30.53            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  30.59            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  30.61            1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    3.0    2.0
  30.68            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    3.0
  30.81            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  30.87            1.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0    2.0    3.0
  30.89            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    4.0
  31               1.0    1.0   10.0   11.0    4.0    1.0    1.0    2.0   22.0   11.0
  31.02            1.0    1.0    9.0    7.0    5.0    3.0    1.0    1.0    2.0   18.0
  31.05            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    2.0
  31.06            1.0    1.0    4.0   11.0   11.0    1.0    2.0    3.0    1.0    5.0
  31.14            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  31.26            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  31.3             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  31.32            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  31.38            1.0    1.0    3.0    1.0    1.0    5.0    1.0    1.0    2.0    3.0
  31.4             1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  31.58            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  31.62            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    2.0    5.0
  31.76            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  31.78            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    3.0
  31.91            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  31.95            1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    3.0    2.0
  32               1.0    1.0   13.0   12.0    5.0    1.0    1.0    2.0   24.0   12.0
  32.02            1.0    1.0    8.0    9.0    8.0    1.0    1.0    3.0    2.0    9.0
  32.06            1.0    1.0    6.0    5.0    7.0    1.0    1.0    5.0    1.0    9.0
  32.2             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    3.0
  32.25            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  32.28            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  32.31            1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  32.39            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  32.56            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  32.57            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  32.7             1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  32.76            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    2.0
  32.89            1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    2.0    2.0
  32.98            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  33               1.0    1.0    7.0    4.0    5.0    1.0    1.0    1.0   19.0    9.0
  33.02            1.0    1.0   10.0    7.0    3.0    1.0    1.0    2.0    1.0    8.0
  33.06            1.0    1.0   14.0    7.0    2.0    1.0    1.0    2.0    1.0    9.0
  33.11            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  33.12            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  33.24            1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0    3.0    3.0
  33.29            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  33.38            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  33.53            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    5.0
  33.54            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    2.0
  33.62            1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  33.84            1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    2.0    3.0
  34               1.0    1.0   12.0    4.0    2.0    3.0    1.0    3.0   32.0    8.0
  34.01            1.0    1.0    9.0    6.0    2.0    1.0    1.0    3.0    2.0    9.0
  34.06            1.0    1.0    7.0    4.0    3.0    1.0    1.0    5.0    1.0   10.0
  34.13            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  34.18            1.0    1.0    1.0    1.0    1.0    5.0    1.0    1.0    2.0    1.0
  34.21            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    3.0
  34.44            1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  34.48            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    4.0
  34.54            1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
