
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  5                1.0    1.0   80.0    1.0    1.0   51.0    1.0    1.0    1.0    1.0
  6                1.0    1.0   99.0   43.0   55.0  172.0   90.0   22.0    1.0  120.0
  7                1.0    1.0   57.0   51.0   41.0  119.0   93.0   20.0    1.0   21.0
  8                1.0    1.0  109.0   45.0   65.0  201.0   94.0   34.0    1.0    8.0
  9                1.0    1.0   51.0   41.0   53.0  128.0   86.0   24.0    1.0   12.0
  10               1.0    1.0  108.0   47.0   41.0  189.0   86.0   28.0    6.0   18.0
  11               1.0    1.0   39.0   49.0   43.0  143.0   96.0   22.0    4.0   24.0
  12               1.0    1.0   92.0   74.0   62.0  102.0  110.0   25.0   13.0   39.0
  13               1.0    1.0   34.0   55.0   53.0   43.0   79.0   27.0   17.0   37.0
  14               1.0    1.0   57.0   54.0   58.0   55.0   72.0   23.0   24.0   39.0
  15               1.0    1.0   44.0   50.0   47.0   50.0   78.0   32.0   24.0   26.0
  16               1.0    1.0   83.0   68.0   64.0   66.0   79.0   20.0   41.0   56.0
  17               1.0    1.0   22.0   59.0   60.0   43.0   78.0   27.0   18.0   45.0
  18               1.0    1.0   98.0   31.0   66.0   34.0   71.0   29.0   25.0   73.0
  19               1.0    1.0   41.0   74.0   73.0   39.0   51.0   30.0   28.0   37.0
  20               1.0    1.0   81.0   88.0   42.0   39.0   54.0   25.0   74.0   86.0
  21               1.0    1.0   79.0   63.0   65.0   33.0   66.0   30.0   65.0   80.0
  22               1.0    1.0   58.0   64.0   63.0   28.0   66.0   22.0   68.0   69.0
  23               1.0    1.0   31.0   63.0   68.0   26.0   58.0   26.0   73.0   77.0
  24               1.0    1.0  141.0   69.0   54.0   44.0   50.0   22.0   71.0   92.0
  25               1.0    1.0   42.0   64.0   89.0   37.0   51.0   32.0   75.0   90.0
  26               1.0    1.0   62.0   23.0   22.0   25.0    5.0    1.0   74.0   89.0
  27               1.0    1.0   52.0   26.0   22.0   18.0    4.0    1.0   81.0   69.0
  28               1.0    1.0   22.0   22.0   17.0   22.0    3.0    1.0   79.0   76.0
  29               1.0    1.0   32.0   14.0   18.0   29.0    2.0    1.0   77.0  106.0
  30               1.0    1.0   70.0   25.0   20.0   32.0    3.0    1.0  105.0  101.0
  31               1.0    1.0   27.0   32.0   24.0   28.0    1.0    1.0   87.0   96.0
  32               1.0    1.0   25.0   17.0   23.0   18.0    1.0    1.0   82.0   84.0
  33               1.0    1.0   29.0   23.0   28.0   16.0    1.0    1.0   71.0   82.0
  34               1.0    1.0   37.0   24.0   22.0   20.0    1.0    1.0  117.0   91.0
  35               1.0    1.0   26.0   16.0   23.0   22.0    1.0    1.0   79.0  101.0
  36               1.0    1.0   30.0   23.0   22.0   17.0    1.0    1.0  105.0  115.0
  37               1.0    1.0   15.0   23.0   15.0    9.0    1.0    1.0   77.0   97.0
  38               1.0    1.0   21.0   18.0   13.0    1.0    1.0    1.0   84.0   76.0
  39               1.0    1.0   32.0   14.0   17.0    8.0    1.0    1.0   94.0   90.0
  40               1.0    1.0    1.0   15.0   17.0    9.0    1.0    1.0   52.0   56.0
  41               1.0    1.0    1.0   13.0   13.0    9.0    1.0    1.0   61.0   54.0
