
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
               Class
Variable         win     loss
e2=x          1.7293   0.6112
e2=o          0.7482   2.1865
e2=b           0.827   0.9143
e3=x          2.4622    0.624
e3=o          0.2639   1.4779
e3=b           1.135   1.0837
e4=x          1.6069   0.5818
e4=o          0.6318    1.651
e4=b          1.0331   0.9758
e5=x          0.4705   1.7151
e5=o          1.2514   0.5013
e5=b          1.2289   1.1636
e6=x          0.0999   3.3605
e6=o          3.0693   0.7613
e6=b           0.685   0.9517
f1=x          0.8881   1.1056
f1=o          1.2338   0.8319
f1=b          0.9197   1.0788
f2=x          1.3748   0.8551
f2=o          0.7912   1.1256
f2=b          0.9548   1.0211
f3=x          1.0925   0.8367
f3=o          1.0208   1.9785
f3=b          0.9435   0.7663
f4=x          1.5788   0.8139
f4=o          0.7687   1.1423
f4=b          0.9333   1.0234
f5=x          0.3414    1.184
f5=o          1.7168   0.8748
f5=b          1.1193   1.0116
f6=x          0.0199    0.357
f6=o          2.5197   0.5067
f6=b          1.0811   2.1229
g1=x          0.5799   1.7092
g1=o          1.7874   0.4929
g1=b          0.9931   1.1256
g2=x          0.4588   1.4841
g2=o          1.7855   0.5782
g2=b          1.1103   1.1111
g3=x          0.4974   1.6391
g3=o          1.8814   0.7127
g3=b          1.0189   0.9291
g4=x          0.6225    1.496
g4=o          1.2353   0.6026
g4=b          1.1142   1.0935
g5=x          0.3747   3.0388
g5=o          2.0407   0.5311
g5=b          0.9249   0.9784
g6=x          0.0258   2.2134
g6=o          2.6228   0.2511
g6=b          0.9422    2.602


Time taken to build model: 41 seconds
Time taken to test model on training data: 0.34 seconds

=== Error on training data ===

Correctly Classified Instances       40829               75.5463 %
Incorrectly Classified Instances     13216               24.4537 %
Kappa statistic                          0.4646
K&B Relative Info Score            1950525.8284 %
K&B Information Score                24303.3878 bits      0.4497 bits/instance
Class complexity | order 0           67337.4363 bits      1.246  bits/instance
Class complexity | scheme            47374.9217 bits      0.8766 bits/instance
